TestID;Bars;FinishingType;Machine1;SelectedRule;Filmnumber;Description;Shape;LongFace;ShortFace;DifficultArtwork;Transparant
MF213428-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213428;ET 333 - Half wrap - Cup rond 150g;Banderole ronde pot;136,9;97,4;0;0
MF213428-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213428;ET 333 - Half wrap - Cup rond 150g;Banderole ronde pot;136,9;97,4;0;1
MF213455-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF213455;Nikita - LID;Deksel rechthoekig;51,45;51,45;1;0
MF213455-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF213455;Nikita - LID;Deksel rechthoekig;51,45;51,45;1;1
MF213455-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF213455;Nikita - LID;Deksel rechthoekig;51,45;51,45;0;0
MF213455-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF213455;Nikita - LID;Deksel rechthoekig;51,45;51,45;0;1
MF213458-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF213458;Label 1L Lid;Deksel diverse;184,08;98,57;1;0
MF213458-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF213458;Label 1L Lid;Deksel diverse;184,08;98,57;1;1
MF213458-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF213458;Label 1L Lid;Deksel diverse;184,08;98,57;0;0
MF213458-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF213458;Label 1L Lid;Deksel diverse;184,08;98,57;0;1
MF213478-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF213478;1KG TUB;Vijfzijdig margarine;276,7;237,8;1;0
MF213478-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF213478;1KG TUB;Vijfzijdig margarine;276,7;237,8;1;1
MF213478-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF213478;1KG TUB;Vijfzijdig margarine;276,7;237,8;0;0
MF213478-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF213478;1KG TUB;Vijfzijdig margarine;276,7;237,8;0;1
MF213489-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF213489;Cup 100 ml - New drawing 10-09-2013;Banderole ronde pot;196,76;65,75;1;0
MF213489-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF213489;Cup 100 ml - New drawing 10-09-2013;Banderole ronde pot;196,76;65,75;1;1
MF213489-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF213489;Cup 100 ml - New drawing 10-09-2013;Banderole ronde pot;196,76;65,75;0;0
MF213489-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF213489;Cup 100 ml - New drawing 10-09-2013;Banderole ronde pot;196,76;65,75;0;1
MF213503-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF213503;J1251 with gap;Banderole rechthoekige pot;332,12;54,39;1;0
MF213503-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF213503;J1251 with gap;Banderole rechthoekige pot;332,12;54,39;1;1
MF213503-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF213503;J1251 with gap;Banderole rechthoekige pot;332,12;54,39;0;0
MF213503-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF213503;J1251 with gap;Banderole rechthoekige pot;332,12;54,39;0;1
MF213510-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF213510;JSP 3900;Driezijdig;205;146,2;1;0
MF213510-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF213510;JSP 3900;Driezijdig;205;146,2;1;1
MF213510-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF213510;JSP 3900;Driezijdig;205;146,2;0;0
MF213510-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF213510;JSP 3900;Driezijdig;205;146,2;0;1
MF213518-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF213518;Yogibear _ Twist DIA 91.22;Deksel rond;91,22;91,22;1;0
MF213518-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF213518;Yogibear _ Twist DIA 91.22;Deksel rond;91,22;91,22;1;1
MF213518-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF213518;Yogibear _ Twist DIA 91.22;Deksel rond;91,22;91,22;0;0
MF213518-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF213518;Yogibear _ Twist DIA 91.22;Deksel rond;91,22;91,22;0;1
MF213586-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213586;1000ML Tub Label;Banderole ovalen pot;331,18;133,25;1;0
MF213586-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213586;1000ML Tub Label;Banderole ovalen pot;331,18;133,25;1;1
MF213586-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213586;1000ML Tub Label;Banderole ovalen pot;331,18;133,25;0;0
MF213586-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213586;1000ML Tub Label;Banderole ovalen pot;331,18;133,25;0;1
MF213608-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF213608;Dome Lid Orosunrise - full cover;Deksel ovaal;176,44;111,54;1;0
MF213608-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF213608;Dome Lid Orosunrise - full cover;Deksel ovaal;176,44;111,54;1;1
MF213608-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF213608;Dome Lid Orosunrise - full cover;Deksel ovaal;176,44;111,54;0;0
MF213608-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF213608;Dome Lid Orosunrise - full cover;Deksel ovaal;176,44;111,54;0;1
MF213640-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213640;Verfemmer 638.009E;Banderole ronde pot;149,87;50,23;1;0
MF213640-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213640;Verfemmer 638.009E;Banderole ronde pot;149,87;50,23;1;1
MF213640-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213640;Verfemmer 638.009E;Banderole ronde pot;149,87;50,23;0;0
MF213640-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213640;Verfemmer 638.009E;Banderole ronde pot;149,87;50,23;0;1
MF213649-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF213649;Trolli Deksel;Deksel diverse;172,5;103;1;0
MF213649-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF213649;Trolli Deksel;Deksel diverse;172,5;103;1;1
MF213649-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF213649;Trolli Deksel;Deksel diverse;172,5;103;0;0
MF213649-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF213649;Trolli Deksel;Deksel diverse;172,5;103;0;1
MF213650-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;17;MF213650;Trolli Bodem;Deksel rond;172,5;172,5;1;0
MF213650-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;12;MF213650;Trolli Bodem;Deksel rond;172,5;172,5;1;1
MF213650-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;19;MF213650;Trolli Bodem;Deksel rond;172,5;172,5;0;0
MF213650-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;12;MF213650;Trolli Bodem;Deksel rond;172,5;172,5;0;1
MF213657-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF213657;Container ERIKS 470ml;Banderole ronde pot;269,96;87;1;0
MF213657-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF213657;Container ERIKS 470ml;Banderole ronde pot;269,96;87;1;1
MF213657-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF213657;Container ERIKS 470ml;Banderole ronde pot;269,96;87;0;0
MF213657-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF213657;Container ERIKS 470ml;Banderole ronde pot;269,96;87;0;1
MF213685-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213685;Coca Cola Sample PING adjusted (1);Banderole ronde pot;314,9;165,8;1;0
MF213685-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213685;Coca Cola Sample PING adjusted (1);Banderole ronde pot;314,9;165,8;1;1
MF213685-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213685;Coca Cola Sample PING adjusted (1);Banderole ronde pot;314,9;165,8;0;0
MF213685-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213685;Coca Cola Sample PING adjusted (1);Banderole ronde pot;314,9;165,8;0;1
MF213688-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213688;E077 - Becher 5-Seitig;Vijfzijdig;117,06;117,06;1;0
MF213688-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213688;E077 - Becher 5-Seitig;Vijfzijdig;117,06;117,06;1;1
MF213688-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213688;E077 - Becher 5-Seitig;Vijfzijdig;117,06;117,06;0;0
MF213688-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213688;E077 - Becher 5-Seitig;Vijfzijdig;117,06;117,06;0;1
MF213696-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF213696;J3851 & J5151 Bottom;Deksel rechthoekig;74,2;74,2;1;0
MF213696-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF213696;J3851 & J5151 Bottom;Deksel rechthoekig;74,2;74,2;1;1
MF213696-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF213696;J3851 & J5151 Bottom;Deksel rechthoekig;74,2;74,2;0;0
MF213696-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF213696;J3851 & J5151 Bottom;Deksel rechthoekig;74,2;74,2;0;1
MF213698-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213698;LR9 Lid;Deksel rechthoekig;112,15;112,15;1;0
MF213698-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213698;LR9 Lid;Deksel rechthoekig;112,15;112,15;1;1
MF213698-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213698;LR9 Lid;Deksel rechthoekig;112,15;112,15;0;0
MF213698-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213698;LR9 Lid;Deksel rechthoekig;112,15;112,15;0;1
MF213758-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213758;500gr Eurotub Lid (3.2mm bleed);Deksel rechthoekig;132,34;81,54;1;0
MF213758-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213758;500gr Eurotub Lid (3.2mm bleed);Deksel rechthoekig;132,34;81,54;1;1
MF213758-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213758;500gr Eurotub Lid (3.2mm bleed);Deksel rechthoekig;132,34;81,54;0;0
MF213758-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213758;500gr Eurotub Lid (3.2mm bleed);Deksel rechthoekig;132,34;81,54;0;1
MF213766-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213766;3383 - THEHA Nieuw;Veelhoek/Trapezium/...;139,81;98,31;1;0
MF213766-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213766;3383 - THEHA Nieuw;Veelhoek/Trapezium/...;139,81;98,31;1;1
MF213766-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213766;3383 - THEHA Nieuw;Veelhoek/Trapezium/...;139,81;98,31;0;0
MF213766-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213766;3383 - THEHA Nieuw;Veelhoek/Trapezium/...;139,81;98,31;0;1
MF213785-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;29;MF213785;POT ROND 395 ml-12222-395;Banderole rechthoekige pot;255,59;87,4;1;0
MF213785-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;27;MF213785;POT ROND 395 ml-12222-395;Banderole rechthoekige pot;255,59;87,4;1;1
MF213785-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;31;MF213785;POT ROND 395 ml-12222-395;Banderole rechthoekige pot;255,59;87,4;0;0
MF213785-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;27;MF213785;POT ROND 395 ml-12222-395;Banderole rechthoekige pot;255,59;87,4;0;1
MF213807-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213807;TROLLI Boden;Deksel rond;141,5;141,5;1;0
MF213807-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213807;TROLLI Boden;Deksel rond;141,5;141,5;1;1
MF213807-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213807;TROLLI Boden;Deksel rond;141,5;141,5;0;0
MF213807-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213807;TROLLI Boden;Deksel rond;141,5;141,5;0;1
MF213823-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213823;Deksel rond - Klassenoten / YRD SD Lid;Deksel rond;106,92;106,92;1;0
MF213823-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213823;Deksel rond - Klassenoten / YRD SD Lid;Deksel rond;106,92;106,92;1;1
MF213823-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213823;Deksel rond - Klassenoten / YRD SD Lid;Deksel rond;106,92;106,92;0;0
MF213823-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213823;Deksel rond - Klassenoten / YRD SD Lid;Deksel rond;106,92;106,92;0;1
MF213839-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF213839;COUVERCLE FOL EPI;Deksel diverse;168,82;153,58;1;0
MF213839-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF213839;COUVERCLE FOL EPI;Deksel diverse;168,82;153,58;1;1
MF213839-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF213839;COUVERCLE FOL EPI;Deksel diverse;168,82;153,58;0;0
MF213839-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF213839;COUVERCLE FOL EPI;Deksel diverse;168,82;153,58;0;1
MF213899-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213899;32OZ;Banderole ronde pot;314,46;164,8;1;0
MF213899-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213899;32OZ;Banderole ronde pot;314,46;164,8;1;1
MF213899-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213899;32OZ;Banderole ronde pot;314,46;164,8;0;0
MF213899-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF213899;32OZ;Banderole ronde pot;314,46;164,8;0;1
MF213935-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF213935;CV 1.2L - 1L  TARTIMALIN;Deksel rechthoekig;178;116;1;0
MF213935-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF213935;CV 1.2L - 1L  TARTIMALIN;Deksel rechthoekig;178;116;1;1
MF213935-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF213935;CV 1.2L - 1L  TARTIMALIN;Deksel rechthoekig;178;116;0;0
MF213935-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF213935;CV 1.2L - 1L  TARTIMALIN;Deksel rechthoekig;178;116;0;1
MF213940-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213940;IML Label für Rohre;Veelhoek/Trapezium/...;138,53;91,26;1;0
MF213940-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213940;IML Label für Rohre;Veelhoek/Trapezium/...;138,53;91,26;1;1
MF213940-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213940;IML Label für Rohre;Veelhoek/Trapezium/...;138,53;91,26;0;0
MF213940-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF213940;IML Label für Rohre;Veelhoek/Trapezium/...;138,53;91,26;0;1
MF213949-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF213949;BECHER 86-175mL-ART 0705-3-203 302-DV 1;Banderole ronde pot;241,3;61,83;1;0
MF213949-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF213949;BECHER 86-175mL-ART 0705-3-203 302-DV 1;Banderole ronde pot;241,3;61,83;1;1
MF213949-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF213949;BECHER 86-175mL-ART 0705-3-203 302-DV 1;Banderole ronde pot;241,3;61,83;0;0
MF213949-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF213949;BECHER 86-175mL-ART 0705-3-203 302-DV 1;Banderole ronde pot;241,3;61,83;0;1
MF213977-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF213977;SAUSPOT - 25/10/2013;Deksel diverse;60,73;53,42;1;0
MF213977-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF213977;SAUSPOT - 25/10/2013;Deksel diverse;60,73;53,42;1;1
MF213977-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF213977;SAUSPOT - 25/10/2013;Deksel diverse;60,73;53,42;0;0
MF213977-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF213977;SAUSPOT - 25/10/2013;Deksel diverse;60,73;53,42;0;1
MF213997-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213997;8565 MILLS - Lid 250g and 400g - okt13;Deksel diverse;106,21;104,52;1;0
MF213997-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213997;8565 MILLS - Lid 250g and 400g - okt13;Deksel diverse;106,21;104,52;1;1
MF213997-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213997;8565 MILLS - Lid 250g and 400g - okt13;Deksel diverse;106,21;104,52;0;0
MF213997-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF213997;8565 MILLS - Lid 250g and 400g - okt13;Deksel diverse;106,21;104,52;0;1
MF214001-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF214001;8568 MILLS - Lid 600g - okt13;Deksel diverse;119,75;119,41;1;0
MF214001-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF214001;8568 MILLS - Lid 600g - okt13;Deksel diverse;119,75;119,41;1;1
MF214001-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF214001;8568 MILLS - Lid 600g - okt13;Deksel diverse;119,75;119,41;0;0
MF214001-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF214001;8568 MILLS - Lid 600g - okt13;Deksel diverse;119,75;119,41;0;1
MF214081-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION2;9;MF214081;7,5Oz - 5-Sided 13-11-13;Vijfzijdig margarine;179,46;144,88;1;0
MF214081-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_VISION2;7;MF214081;7,5Oz - 5-Sided 13-11-13;Vijfzijdig margarine;179,46;144,88;1;1
MF214081-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION2;9;MF214081;7,5Oz - 5-Sided 13-11-13;Vijfzijdig margarine;179,46;144,88;0;0
MF214081-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_VISION2;7;MF214081;7,5Oz - 5-Sided 13-11-13;Vijfzijdig margarine;179,46;144,88;0;1
MF214082-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF214082;15Oz - Lid 2 rims;Deksel diverse;109,93;105,35;1;0
MF214082-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF214082;15Oz - Lid 2 rims;Deksel diverse;109,93;105,35;1;1
MF214082-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF214082;15Oz - Lid 2 rims;Deksel diverse;109,93;105,35;0;0
MF214082-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF214082;15Oz - Lid 2 rims;Deksel diverse;109,93;105,35;0;1
MF214083-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF214083;15Oz - Banana;Driezijdig;197,7;102,56;1;0
MF214083-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF214083;15Oz - Banana;Driezijdig;197,7;102,56;1;1
MF214083-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF214083;15Oz - Banana;Driezijdig;197,7;102,56;0;0
MF214083-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF214083;15Oz - Banana;Driezijdig;197,7;102,56;0;1
MF214084-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_SEMI;20;MF214084;15Oz - 5-Sided;Vijfzijdig margarine;226,8;197,7;1;0
MF214084-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_SEMI;20;MF214084;15Oz - 5-Sided;Vijfzijdig margarine;226,8;197,7;1;1
MF214084-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_SEMI;20;MF214084;15Oz - 5-Sided;Vijfzijdig margarine;226,8;197,7;0;0
MF214084-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_SEMI;20;MF214084;15Oz - 5-Sided;Vijfzijdig margarine;226,8;197,7;0;1
MF214086-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_SEMI;20;MF214086;22,5Oz - 5-Sided;Vijfzijdig margarine;221,09;191,6;1;0
MF214086-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_SEMI;20;MF214086;22,5Oz - 5-Sided;Vijfzijdig margarine;221,09;191,6;1;1
MF214086-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_SEMI;20;MF214086;22,5Oz - 5-Sided;Vijfzijdig margarine;221,09;191,6;0;0
MF214086-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_SEMI;20;MF214086;22,5Oz - 5-Sided;Vijfzijdig margarine;221,09;191,6;0;1
MF214088-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF214088;30Oz - 5-Sided;Vijfzijdig margarine;251,81;222,52;1;0
MF214088-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF214088;30Oz - 5-Sided;Vijfzijdig margarine;251,81;222,52;1;1
MF214088-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF214088;30Oz - 5-Sided;Vijfzijdig margarine;251,81;222,52;0;0
MF214088-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF214088;30Oz - 5-Sided;Vijfzijdig margarine;251,81;222,52;0;1
MF214089-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF214089;45Oz - Lid 2 rims;Deksel diverse;144,19;139,42;1;0
MF214089-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF214089;45Oz - Lid 2 rims;Deksel diverse;144,19;139,42;1;1
MF214089-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF214089;45Oz - Lid 2 rims;Deksel diverse;144,19;139,42;0;0
MF214089-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF214089;45Oz - Lid 2 rims;Deksel diverse;144,19;139,42;0;1
MF214090-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF214090;45Oz - Banana;Driezijdig;289,24;135,58;1;0
MF214090-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF214090;45Oz - Banana;Driezijdig;289,24;135,58;1;1
MF214090-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF214090;45Oz - Banana;Driezijdig;289,24;135,58;0;0
MF214090-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF214090;45Oz - Banana;Driezijdig;289,24;135,58;0;1
MF214113-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF214113;PakPot - 97mm / 200ml - 2 sides - #6718 - QP&T;Driezijdig;155,74;61,31;1;0
MF214113-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF214113;PakPot - 97mm / 200ml - 2 sides - #6718 - QP&T;Driezijdig;155,74;61,31;1;1
MF214113-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF214113;PakPot - 97mm / 200ml - 2 sides - #6718 - QP&T;Driezijdig;155,74;61,31;0;0
MF214113-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF214113;PakPot - 97mm / 200ml - 2 sides - #6718 - QP&T;Driezijdig;155,74;61,31;0;1
MF214114-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF214114;Pakpot - 118mm / 230ml - 4 sides - QP&T;Vijfzijdig;147,2;147,2;1;0
MF214114-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF214114;Pakpot - 118mm / 230ml - 4 sides - QP&T;Vijfzijdig;147,2;147,2;1;1
MF214114-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF214114;Pakpot - 118mm / 230ml - 4 sides - QP&T;Vijfzijdig;147,2;147,2;0;0
